epoch,hgrad_frac_pm1,d_t_minus1_along_grad,t_minus1,R_plus_T
1,0.0,0.0,0.00637755102040808,1.0000597770885533
100,0.17777614362663258,0.7076360481346308,0.006177094433106559,1.0065158341033915
200,0.2078537032078495,0.7955991219916434,0.006212368398593819,1.0050894631761835
300,0.20322729419912644,0.6401541542106182,0.005772422504848761,1.005201809018917
400,0.0608616332467316,0.1800261240919203,0.005793010575062751,1.0043963843942743
500,0.03694430296650854,0.12488838931151588,0.005832446513686964,1.0032772854641177
600,0.04078443600490212,0.1285323956297623,0.005773992507980097,1.002499726178657
700,0.0423138156475183,0.12910773944446263,0.005667322415429744,1.002109367960657
800,0.042362665380633116,0.12744835937937055,0.005588334998645222,1.001930481561908
900,0.04204898848327797,0.12598533737331913,0.00555304939872955,1.0018659395667326
1000,0.04184901365251144,0.12549942388961782,0.005547344189589806,1.0018563222382773
