label,lambda,theta_norm,theta_max,direct_resid,affine_err,reeval_ok,t_minus1_abs,t_plus1_abs,R_plus_T,total_complex_l2
lam1e-12,1e-12,12865207.26739684,5574055.444449874,0.19719782713003436,2.166686385862704e-09,True,0.0016307170953336338,0.001452072803737975,1264192.7846851118,163360.57661348538
lam1e-10,1e-10,10595505.898587605,5474114.158275439,0.20491757627980212,1.3554206645949307e-09,True,0.0021065348140552552,0.0008907632805756342,901440.50922676,128345.38350973166
lam1e-08,1e-08,6536399.696184952,3112622.1818446573,0.2098128430125099,1.4017773608543393e-09,True,0.0028127535762563403,0.0015430231339004351,903413.9558121983,127079.99911436513
