epoch,seed,alpha,pde_air,pde_grat,pde_sub,top_DtN,bottom_DtN,E_int,H_int,total_loss,head_norm,g_norm_before,g_norm_after,pm1_frac_before,pm1_frac_after,proj_pm1_norm,proj_perp_norm,d_t_minus1_precond,d_t_plus1_precond,t_minus1,t_plus1,R_plus_T,total_complex_l2,scattered_complex_l2,h_net_air,h_net_grat,h_net_sub
1,42,0.1,0.0,0.0009061328613077877,0.0,0.0,0.0,0.0,0.0,0.0009061328613077877,0.006932201282064763,0.8535987877183331,0.0853598787718333,0.0,0.0,0.0,0.8535987877183331,0.0,0.0,0.00637755102040808,0.006377551020408138,1.0000597770885533,0.04709315618840033,0.99999999999987,6.686828587757156,6.812363889622497,5.130277145270765
100,42,0.1,1.6243696557474658e-07,0.00028753164000249305,1.4227776865272657e-05,4.498317890835638e-07,1.303680374991913e-06,4.747540382564411e-05,4.8178357764477804e-05,0.0003993291358473985,0.034067535322070734,0.042836709315657834,0.017718801181176566,0.40338800646374484,0.9752248246155175,0.01727981477431014,0.039196832351093114,2.2746024308770445,4.337525622736718,0.006169859000131833,0.006453880595780223,1.0040823623390875,0.04512768025830027,0.9582640857146448,6.5495240908962735,6.680705298336745,4.812212520570734
200,42,0.1,8.342379342103164e-07,0.00028327192409342616,1.4571633106838668e-05,1.9919633120891833e-06,9.310044677121972e-07,4.1195345125025544e-05,4.0396624770228876e-05,0.00038319274146331444,0.07340453999238038,0.0019753482780351735,0.00020963743534449321,0.035716368302222044,0.33654421743677204,7.055226662346437e-05,0.001974087940597079,1.6479938264554743,0.37528287020856543,0.006347267754593738,0.006591924298430553,1.005472914708282,0.05712647444073572,1.2130525763061788,6.548890389572598,6.686514393241832,4.8145489938682635
300,42,0.1,1.0879994142838903e-06,0.00027742817107667016,1.3973497516960655e-05,2.685852061185968e-06,9.312151527292976e-07,4.05431819851721e-05,3.937419731911712e-05,0.00037602412303277643,0.11472698996676164,0.001939465117361187,0.00019405936740262306,0.0034291088241841282,0.03427114618147857,6.6506369481405525e-06,0.001939453714448743,0.11261265477835714,0.1301621774614932,0.006313601049825188,0.006574750700236033,1.005667536255486,0.0779569280473405,1.6553770092507025,6.546472104673425,6.681160145188053,4.819775959311262
400,42,0.1,1.0706056663500933e-06,0.00027067683129076194,1.4169736880287679e-05,2.8230625199751177e-06,9.07451320412032e-07,3.820949388812362e-05,3.772356946584894e-05,0.0003655807594238592,0.15378364678618234,0.0027652461308215093,0.00027667338698837094,0.0032972531594821137,0.03295480147492518,9.117716541596911e-06,0.002765231099070816,0.07165232290094446,0.14919037522002368,0.006306436350684008,0.00652979936735853,1.0053453559015575,0.10489530746716082,2.2274002415022736,6.545085234709035,6.70325055825862,4.828287792526445
500,42,0.1,8.872975569283272e-07,0.0002608260274766535,1.525523902215343e-05,2.545251607643037e-06,8.617052879441796e-07,3.4288269460159766e-05,3.5566813871430385e-05,0.00035023061243930363,0.187452908754629,0.003330010129678948,0.00033333024054102266,0.00447023176558872,0.04465816553956211,1.4885917061423047e-05,0.0033299768577630755,0.14847104978123868,0.168102210382466,0.006329131389001982,0.006483916333357699,1.0045595567606054,0.13616867751545741,2.8914748667658814,6.547421728215877,6.767773884595289,4.839210898496047
600,42,0.1,7.336739290069858e-07,0.00025097922016423973,1.647248937157836e-05,2.2245664525451243e-06,8.279019016309366e-07,3.122043130924677e-05,3.475295958878058e-05,0.00033721125057290815,0.21384737381314814,0.003131047746927869,0.00031354605064419017,0.005337779755971318,0.05330267513876869,1.6712843278531184e-05,0.0031310031418718878,0.18995618424580746,0.18861980849761179,0.0063502841004846175,0.006435163802096881,1.0037332778851369,0.16884778713030277,3.5853996800467214,6.553114163919766,6.836806071749754,4.849622262316911
700,42,0.1,6.680320611630744e-07,0.0002443590746590589,1.7192767793468002e-05,2.047296227784636e-06,8.132675497815055e-07,2.959041475424e-05,3.469665443458778e-05,0.0003293675151445401,0.2322056783397995,0.002810154082617728,0.0002814793919106862,0.0057778047757938,0.057682807856914174,1.6236521679265153e-05,0.002810107176500007,0.2030842886659528,0.2065886470954678,0.006352608685693674,0.006391149720382614,1.0031721234276876,0.1975499637112474,4.194876277158099,6.559458129303959,6.881219266156078,4.857446491641568
800,42,0.1,6.454299441275078e-07,0.00024082546970276254,1.7512615983756845e-05,1.9668141842926234e-06,8.070708114413776e-07,2.8803005044361876e-05,3.465811844176985e-05,0.00032521853170252863,0.2427734928374675,0.002633501805345323,0.00026381385188816245,0.005966598307945649,0.05956111592808396,1.5713047415745216e-05,0.0026334549282070476,0.20598794141310459,0.21689977166528332,0.006346684351199809,0.006362031227245298,1.0028611232803375,0.21699085273290006,4.607693989860879,6.564101592612548,6.903847184884616,4.862191585388775
900,42,0.1,6.38566331491236e-07,0.00023944444716840157,1.762258251788052e-05,1.9374978951162817e-06,8.047170607351392e-07,2.8503645761374087e-05,3.4617074178244924e-05,0.0003235685384833214,0.24702747938173011,0.0025685992273422197,0.0002573246168465499,0.006048241826735353,0.06037319504567881,1.5535509282931324e-05,0.002568552245654031,0.20801784085349603,0.2205939012710167,0.006342558371323769,0.0063493242617257495,1.0027354531763468,0.22558549919406604,4.790197078564068,6.566210247757418,6.912387788020197,4.864191745222072
1000,42,0.1,6.375368855871544e-07,0.00023923040979314993,1.7638750539667318e-05,1.9329762782928393e-06,8.043278103114404e-07,2.8457485299969104e-05,3.46087493687233e-05,0.00032331024354323706,0.24767644002371125,0.002558462755591847,0.00025631159271220555,0.006064287175753796,0.06053277853803653,1.5515252878379355e-05,0.0025584157106847876,0.2087558440778255,0.22099941583828095,0.006341813292129727,0.006347288321278691,1.0027158451069593,0.22695087570898748,4.819190177040182,6.566548841567768,6.91367036342454,4.864507846280682
