seed,epoch,alpha,t_minus1,t_plus1,R_plus_T,total_complex_l2,scattered_complex_l2,pde_grat,top_DtN,bottom_DtN,total_loss,head_norm,pm1_frac_before,pm1_frac_after,d_t_minus1_precond
42,1,0.1,0.00637755102040808,0.006377551020408138,1.0000597770885533,0.04709315618840033,0.99999999999987,0.0009061328613077877,0.0,0.0,0.0009061328613077877,0.006932201282064763,0.0,0.0,0.0
42,100,0.1,0.006169859000131833,0.006453880595780223,1.0040823623390875,0.04512768025830027,0.9582640857146448,0.00028753164000249305,4.498317890835638e-07,1.303680374991913e-06,0.0003993291358473985,0.034067535322070734,0.40338800646374484,0.9752248246155175,2.2746024308770445
42,200,0.1,0.006347267754593738,0.006591924298430553,1.005472914708282,0.05712647444073572,1.2130525763061788,0.00028327192409342616,1.9919633120891833e-06,9.310044677121972e-07,0.00038319274146331444,0.07340453999238038,0.035716368302222044,0.33654421743677204,1.6479938264554743
42,300,0.1,0.006313601049825188,0.006574750700236033,1.005667536255486,0.0779569280473405,1.6553770092507025,0.00027742817107667016,2.685852061185968e-06,9.312151527292976e-07,0.00037602412303277643,0.11472698996676164,0.0034291088241841282,0.03427114618147857,0.11261265477835714
42,400,0.1,0.006306436350684008,0.00652979936735853,1.0053453559015575,0.10489530746716082,2.2274002415022736,0.00027067683129076194,2.8230625199751177e-06,9.07451320412032e-07,0.0003655807594238592,0.15378364678618234,0.0032972531594821137,0.03295480147492518,0.07165232290094446
42,500,0.1,0.006329131389001982,0.006483916333357699,1.0045595567606054,0.13616867751545741,2.8914748667658814,0.0002608260274766535,2.545251607643037e-06,8.617052879441796e-07,0.00035023061243930363,0.187452908754629,0.00447023176558872,0.04465816553956211,0.14847104978123868
42,600,0.1,0.0063502841004846175,0.006435163802096881,1.0037332778851369,0.16884778713030277,3.5853996800467214,0.00025097922016423973,2.2245664525451243e-06,8.279019016309366e-07,0.00033721125057290815,0.21384737381314814,0.005337779755971318,0.05330267513876869,0.18995618424580746
42,700,0.1,0.006352608685693674,0.006391149720382614,1.0031721234276876,0.1975499637112474,4.194876277158099,0.0002443590746590589,2.047296227784636e-06,8.132675497815055e-07,0.0003293675151445401,0.2322056783397995,0.0057778047757938,0.057682807856914174,0.2030842886659528
42,800,0.1,0.006346684351199809,0.006362031227245298,1.0028611232803375,0.21699085273290006,4.607693989860879,0.00024082546970276254,1.9668141842926234e-06,8.070708114413776e-07,0.00032521853170252863,0.2427734928374675,0.005966598307945649,0.05956111592808396,0.20598794141310459
42,900,0.1,0.006342558371323769,0.0063493242617257495,1.0027354531763468,0.22558549919406604,4.790197078564068,0.00023944444716840157,1.9374978951162817e-06,8.047170607351392e-07,0.0003235685384833214,0.24702747938173011,0.006048241826735353,0.06037319504567881,0.20801784085349603
42,1000,0.1,0.006341813292129727,0.006347288321278691,1.0027158451069593,0.22695087570898748,4.819190177040182,0.00023923040979314993,1.9329762782928393e-06,8.043278103114404e-07,0.00032331024354323706,0.24767644002371125,0.006064287175753796,0.06053277853803653,0.2087558440778255
