epoch,seed,w_pm1,label,pde_air,pde_grat,pde_sub,top_DtN,bottom_DtN,L_pde,L_pm1,L_total,pm1_frac,t_minus1,t_plus1,R_plus_T,total_complex_l2,scattered_complex_l2
1,43,1.0,G2_L0p8_dc0p4_n2p0_0deg_s43,0.0,0.14995861099541852,0.0,0.0,0.0,0.14995861099541852,0.0,0.14995861099541852,0.0,0.00637755102040808,0.006377551020408138,1.0000597770885533,0.04709315618840033,0.99999999999987
100,43,1.0,G2_L0p8_dc0p4_n2p0_0deg_s43,1.6875928635890685e-05,0.021494701227809342,0.00547884133029378,2.8543047370674767e-05,0.004308137648447071,0.051934588667739784,0.01259882863255045,0.039335760035189335,0.24259032286081178,0.07754334499396057,0.07313800493089191,1.0187233976081402,0.17736703843488694,3.766301789697241
200,43,1.0,G2_L0p8_dc0p4_n2p0_0deg_s43,0.00019703829282011513,0.017989073119114716,0.006284057596211926,0.0003803401849780734,0.003630147128829938,0.047040612293250725,0.010730707212716808,0.036309905080533916,0.228115806525257,0.07212983891692219,0.06682028864310516,1.1066193132259687,0.40679302310273513,8.63804968762915
300,43,1.0,G2_L0p8_dc0p4_n2p0_0deg_s43,0.00017495682966526833,0.01618928630172615,0.00674759306886228,0.0003763396852557171,0.005010907598007805,0.046022885626371,0.01522380231724394,0.030799083309127062,0.3307876529263245,0.09329781775486752,0.07173197955770605,1.0972925158542535,0.6828593298691888,14.500181876476084
400,43,1.0,G2_L0p8_dc0p4_n2p0_0deg_s43,0.00012338288359043978,0.014350661778840056,0.00835188070243039,0.0002955821543759601,0.010737650629769209,0.053351616082963384,0.03613266441498412,0.017218951667979265,0.6772552936127881,0.15418297712767143,0.10048909567890377,1.0799957909772768,1.0508533739638168,22.314354335471773
500,43,1.0,G2_L0p8_dc0p4_n2p0_0deg_s43,0.00010124947357550735,0.014236556189018984,0.010128413197202563,0.000250918521278935,0.01800725006200191,0.0665458599833005,0.06331308154313262,0.00323277844016788,0.9514202920966213,0.20669963808974712,0.13120227393293554,1.0816051753018956,1.2817004464404969,27.216278333793863
600,43,1.0,G2_L0p8_dc0p4_n2p0_0deg_s43,9.815707697555304e-05,0.014332042365943922,0.0104796072371029,0.00024393081585811151,0.019574370312513134,0.06954922530913765,0.06923720391268655,0.0003120213964511037,0.9955136610786934,0.2159917723779755,0.1373461923303837,1.0832074544430472,1.3205377560614864,28.040969494131733
