epoch,seed,w_pm1,label,pde_air,pde_grat,pde_sub,top_DtN,bottom_DtN,L_pde,L_pm1,L_total,pm1_frac,t_minus1,t_plus1,R_plus_T,total_complex_l2,scattered_complex_l2
1,42,1.0,main_seed42_w1.00,0.0,0.0009061328613077877,0.0,0.0,0.0,0.0009061328613077877,0.0,0.0009061328613077877,0.0,0.00637755102040808,0.006377551020408138,1.0000597770885533,0.04709315618840033,0.99999999999987
100,42,1.0,main_seed42_w1.00,8.737334729349215e-07,0.0002728855368315808,2.1756251650220684e-05,1.9229280215968793e-06,5.881491814970005e-05,0.0005091593853496037,0.0001362998685231166,0.0003728595168264871,0.2676958776465038,0.008783850395974025,0.008818015382343954,1.0062351792299788,0.04750338002711954,1.0087109013690205
200,42,1.0,main_seed42_w1.00,1.0666370554615594e-06,0.0002542937840662836,2.1047939744113093e-05,2.635746784049975e-06,4.98447847853105e-05,0.00045656043401452696,0.00014443609648191226,0.0003121243375326147,0.3163570158979579,0.008755075312851454,0.009018225462201396,1.0062184594789052,0.06719872548084488,1.426931871204421
300,42,1.0,main_seed42_w1.00,1.0383511853833283e-06,0.00024827181292235594,2.346305891719036e-05,2.825651261024513e-06,6.586191604179346e-05,0.00047944570502215427,0.0001958631677267917,0.0002835825372953626,0.40852001733489557,0.009241556157635271,0.009538736475802865,1.0058789515525774,0.08790610868657828,1.8666429647418554
400,42,1.0,main_seed42_w1.00,8.927521574170597e-07,0.00024012187732591064,3.230237884206541e-05,2.672204975720255e-06,0.00012880298265541084,0.0005882594188028308,0.0004049215117849678,0.000183337907017863,0.6883383399266692,0.01283507441412431,0.012430740947814139,1.0054697231165506,0.10247476158841567,2.1760011407696487
500,42,1.0,main_seed42_w1.00,7.898461543622015e-07,0.00023725741555099514,4.587911684556821e-05,2.503948224499707e-06,0.00022650988616967698,0.0007693525346171594,0.0007375469054287213,3.18056291884381e-05,0.9586592260929315,0.017840862583371826,0.0164510411425945,1.005360885755455,0.1084019993893357,2.301863119041116
600,42,1.0,main_seed42_w1.00,7.707294715456235e-07,0.0002375521462774208,4.958534887386494e-05,2.469557642217421e-06,0.00025281305875514464,0.0008197124559133637,0.0008287358503747268,-9.023394461363135e-06,1.0110079996909511,0.01900642321913388,0.01742951249214852,1.0053676419152249,0.10923183517585004,2.3194842736563297
