variant,t_minus1,t_plus1,total_complex_l2,scattered_complex_l2,R_plus_T,score
a_baseline,0.0063616572522953154,0.006180021096828086,0.05890848510167642,1.250892695872839,1.001978269610293,1.3391508595197479
b_normalized,0.0063779863652978904,0.006377304271137106,0.047103582435004156,1.0002213962163842,1.0000876866015982,1.0863753645672867
c_balanced,0.006377986377243652,0.006377304266221823,0.04710358237136336,1.0002213948650032,1.000087686478874,1.086375363086151
