epoch,total,pde_top_air,pde_left_substrate,pde_ridge,pde_right_substrate,pde_lower_substrate,interface_ridge_top,interface_ridge_bottom,interface_ridge_left,interface_ridge_right,interface_air_sub_left,interface_air_sub_right,interface_sub_seam_left,interface_sub_seam_right,top_DtN,bottom_DtN
250,0.002392650462630807,1.8523439493225764e-09,4.85289007827588e-08,0.002381020433627141,1.0528504989798667e-08,6.830654211531326e-09,2.03122652261222e-09,1.167025002036218e-08,1.1135294743680814e-09,1.4123385465191678e-09,8.17464024063773e-10,7.437536125559573e-10,1.6167656999536759e-09,1.9049875343920606e-09,2.5011969542254978e-09,4.068914914742907e-09
500,0.0023896338304725123,3.1845021711468833e-09,6.409146447806355e-08,0.00237744893674505,1.489875154650638e-08,7.0675703263366005e-09,2.1890490911105635e-09,1.1683211963939171e-08,1.13274442911191e-09,1.4416093680762362e-09,8.371639898789108e-10,8.135086999507509e-10,1.6305646307836357e-09,1.9465047363610677e-09,4.268947914000307e-09,4.046834015341307e-09
