m,t_pinn_abs,t_rcwa_abs,t_pinn_re,t_pinn_im,t_rcwa_re,t_rcwa_im,amp_error,complex_error,z_bot_monitor
-3,0.006223279043937439,1.87306288452186e-08,0.0039746978299987565,-0.004788630202773446,-1.6952617985681097e-08,-7.965249548438321e-09,0.006223260313308594,0.006223283742274687,1.843137254901961
-2,0.006223279047168487,4.088048547753357e-06,0.0039746978280998605,-0.004788630208548636,-3.7040407334667184e-06,-1.7298043743752251e-06,0.006219190998620733,0.006224314975113342,1.843137254901961
-1,0.01900642321913388,0.04941078619316997,-0.0185457915577254,-0.004159055070834333,-0.048406254602011645,-0.00991263373843614,0.030404362974036092,0.03040971753738379,1.843137254901961
0,0.8150605212335754,0.8128938319277009,0.5463009629620142,-0.6048792533558442,0.5319376185168839,-0.6146858970178894,0.002166689305874492,0.017391834968277137,1.843137254901961
1,0.01742951249214852,0.04941078619256938,-0.011044453508032348,-0.013483617927799398,-0.048406254601429326,-0.009912633738286075,0.031981273700420865,0.0375320677424561,1.843137254901961
2,0.0062232790476846895,4.088048547768949e-06,0.003974697835492648,-0.004788630203083269,-3.7040407334749147e-06,-1.7298043743945222e-06,0.00621919099913692,0.006224314975635368,1.843137254901961
3,0.00622327904393742,1.8730628844127592e-08,0.003974697829998736,-0.004788630202773439,-1.6952617984701272e-08,-7.965249547958156e-09,0.006223260313308576,0.006223283742274668,1.843137254901961
