epoch,pde_air,pde_grat,pde_sub,E_int,H_int,top,bottom,total
1,810.4772970611457,13773.485795665789,2185.087425082818,1.3990961947575984,1.614634354422615,1.5506770229092073,1.5737505196228043,18003.137136144658
100,1.2597345741586685,12.448408415764243,4.488013577153168,0.005683795005919021,0.0033710385629955658,0.0002918971314528161,0.002693024397919989,19.516890929485946
200,0.342165430267771,5.5064911830735985,2.496549929006125,0.005497384449849402,0.002586050264217883,0.0002607461200159839,0.0005914690007919086,9.343069973841406
300,0.18722172931519174,3.819265836669274,1.7514758598154703,0.0023882517092325365,0.001286378130597145,2.05303548537296e-05,0.0008473386686623976,6.220425454076008
400,0.13138885445432233,2.6804242732223273,1.3391741844463716,0.0013690221649674177,0.0007587993528366371,3.5268564947070586e-05,0.0005157533325218192,4.432979079629144
500,0.2062107271226238,8.598691913741034,4.6370748546002885,0.0009060828764353233,0.0006728755182422392,4.109157041665363e-05,0.000286838431557714,13.6491029632958
600,0.10072065041135884,2.2304890752327076,1.6396677812190183,0.0009185663050220016,0.0004139948630419507,9.840205789900995e-06,0.0003314031347469438,4.142194040039125
700,0.07054381084649188,1.317315068329008,1.1529654734876045,0.0007595819433746917,0.00025752554881968716,1.3383534391527657e-05,7.248181492159223e-05,2.6564750505704655
800,0.05721647593466184,0.8889942495391868,0.9047430788664665,0.0003009668396356677,0.00011923465889858874,4.696241593533247e-06,7.711360252475315e-05,1.9030334352429827
900,0.046132897483032925,0.6275064322702808,0.7228863848817196,0.00020363453626390807,8.902635597894738e-05,2.2258369115117126e-06,5.669278381143788e-05,1.4325740006962187
1000,0.06799198051861886,2.0946730557948077,4.4549389098450165,0.0003657337890091464,0.0002403381291823999,5.031366011073858e-05,0.00014200466846389366,6.7175684348793565
1100,0.03865387453003513,0.6224086119435479,1.3014048661544684,0.0002832425058241848,9.57355326663492e-05,4.036277821456954e-06,0.00025763608521150354,2.0281469039089832
1200,0.02976761516042185,0.3636347911274071,0.8588597151010005,0.0003362032242113335,0.0001452483087854759,1.3088784073976763e-05,0.0003486371330978903,1.3418153800352877
1300,0.023319712305933573,0.23895776958337467,0.5623640489795567,0.00019804461340976168,0.000198654239905196,9.13799866013588e-06,0.0002106339917357565,0.8899438147040043
1400,0.019204844959618862,0.18362943860827227,0.46980015484285764,0.00038623835262197915,0.00010536781347238275,1.9108771137040666e-06,0.0001784060553218054,0.7405910991092175
1500,0.03239797024620288,0.7432858855595494,2.31669758842961,0.0001720975952447952,7.269816486302688e-05,3.3971545777409604e-06,0.00016619841859776273,3.1351794393947916
1600,0.02070738965377647,0.21605153932514667,0.5408280172948814,8.04774501554251e-05,9.82407095375513e-05,4.284152148041177e-06,7.534611162623127e-05,0.8051354494797459
1700,0.01663614501500903,0.14118233699131044,0.3601403708326432,0.00025736671376964834,3.8986266164543174e-05,7.009799692738885e-07,9.911943855372076e-05,0.5578565846723909
1800,0.014472035821340726,0.1869934019664755,0.21762791109937743,5.0933555995820024e-05,4.437390895892e-05,5.868563699097089e-07,2.906142493270056e-05,0.43182366606089256
1900,0.012947264161797922,0.1329665154057951,0.1715363435062817,2.7484064337258695e-05,2.971734468611346e-05,6.802304455923914e-07,1.1163433769233909e-05,0.3246267225759315
2000,0.020606448351299374,0.20862088126593717,0.7464262390341337,2.099834094434069e-05,3.11785890099833e-05,1.0611871221569704e-06,8.888801033849783e-06,0.9822907353112662
2100,0.015117106773602838,0.11878191382843133,0.15269991311892353,0.0002643319144089015,9.253432292939143e-05,7.615596179817802e-06,2.97329645417625e-05,0.3290666519988721
2200,0.012081003831407006,0.08331926236368237,0.10622563924957608,0.00038294991548594947,6.513981594518535e-05,6.78037935872182e-07,0.00010790258315695897,0.25756415587141096
2300,0.011123153888441041,0.08127768196576285,0.08297865761482165,0.0004952763833267467,8.28337414938495e-05,6.92825210188103e-07,0.00013745794093014506,0.24728271264919371
2400,0.010357274932991685,0.06188162621430621,0.06541597449427568,0.0003635562189888595,6.289691326548608e-05,7.359416174465684e-07,0.00010156201448345941,0.19082436112407736
2500,0.018020812853741585,0.10050948367673695,0.333232982244469,0.0003232781019246198,5.654435807774819e-05,8.242053354542273e-07,9.120795187996921e-05,0.4992784226309084
2600,0.012316296786155659,0.055470037507227836,0.04790026799751354,0.0003225718219380594,5.932034105469275e-05,1.1082021755595718e-06,0.00010430736099229503,0.16486065577718154
2700,0.011100084677156383,0.0769641577578897,0.029311790880788502,9.080770277481345e-06,1.3029071079595153e-05,1.814710411107581e-07,1.020363396473501e-05,0.12069811636857113
2800,0.010097402476900094,0.0591083376820856,0.019720325629484423,1.582417712521435e-05,1.434991588898138e-05,7.668360952873242e-07,8.115523206908668e-06,0.09313844545822422
2900,0.009481542745378529,0.04833451581010545,0.015188454329340002,3.6994242850137334e-06,4.7881518205782e-06,1.0841492361495496e-06,1.0238177893940648e-06,0.07449772689239736
3000,0.015568204300826227,0.06718796475956101,0.36050330653717827,2.622670793692997e-05,0.00023707341740375853,2.6722932452959908e-06,4.2103089170054234e-05,0.47513594367128775
3100,0.011300743744106232,0.040551950250397,0.03908228044794923,0.0003120863813153555,5.804252058988742e-05,9.09042982046298e-07,5.4056849441199724e-05,0.13380807106811987
3200,0.010261160917970604,0.031246061376386466,0.03254931985078437,0.00024070434093169266,4.3711555775992565e-05,6.098312217078535e-07,4.094580420817145e-05,0.10689762784758103
3300,0.009682277749815513,0.028185644626604656,0.02431013203748228,0.00020781324038892025,3.325072555062076e-05,6.644809504036747e-07,3.642585137679525e-05,0.0902592766207379
3400,0.009207385362472323,0.023237990795082864,0.020331638793174598,0.00015331435717012043,2.4180250659104782e-05,5.93759878131448e-07,2.5106484017090588e-05,0.07333400407442708
3500,0.01479326977068401,0.039728957478301234,0.05614973380769304,0.00013399478129437427,2.1119297808491157e-05,5.734269319462226e-07,2.235239465793099e-05,0.12870532189873105
3600,0.010628116712453645,0.01935158078380515,0.015505489007010584,0.00021548224704182024,3.053719148548477e-05,9.947056915663578e-07,4.029118805927697e-05,0.07461360200771075
3700,0.009667845366237745,0.017162198350989546,0.01180790748956848,0.00016457585397863133,2.5549632644163634e-05,7.829423246461596e-07,5.6790799032756223e-05,0.06372105093467398
3800,0.009069605885589358,0.015247701890355661,0.009963831073463275,0.00011263093122203367,2.6289232867046845e-05,4.947592205681107e-07,8.445865889907997e-05,0.056866400758508406
3900,0.00850855277107714,0.0146656541128039,0.019975055898719358,1.6320862001338303e-05,8.943266593615582e-06,5.820174753211437e-07,8.933463218999813e-06,0.04686003070165634
4000,0.0147906259655666,0.03112612363212307,0.0602329977522695,5.800301614905184e-05,3.998992705612907e-05,2.619350420319316e-06,4.078627635588446e-06,0.11766657964419577
4100,0.010046396114221909,0.016054353479407427,0.01420631754341344,6.212829897737556e-05,4.7808385766389075e-05,1.4076688976856971e-06,2.3114779963073036e-05,0.05431604805656939
4200,0.009134745384319408,0.013599030459733744,0.010518021256619284,5.5313091384001715e-05,3.6185899166236924e-05,1.2191630689398309e-06,2.0508601589705793e-05,0.0450621378491368
4300,0.008552828459372696,0.017343916809945605,0.007506110398698556,1.4578607951990225e-05,2.575998506739121e-05,7.480050876240924e-07,3.882543938102674e-06,0.03819897190757732
4400,0.008079284311464348,0.033416135775933796,0.006913523780080009,1.832169933006516e-05,1.950702568686385e-05,6.22637424557532e-08,4.11580202200706e-06,0.052634528442599644
4500,0.014600516616114318,0.03138861743742439,0.05280112708113624,1.7146482654151233e-05,8.179751370652558e-06,1.0750990841070927e-07,4.955826111910909e-06,0.10187222210255178
4600,0.009669066824377438,0.019050122311950187,0.012783121114978072,8.589259365416597e-06,9.468575550623611e-06,9.218290522955835e-08,4.213326426849444e-06,0.04377551783820944
4700,0.008704617839064803,0.016623333815659985,0.010000054654395567,3.4463642707402906e-06,8.388978646073835e-06,9.827381538582032e-08,2.8241442344325072e-06,0.03684309193193793
4800,0.008033517865580904,0.01510531219488217,0.008499786923106075,6.462104037490826e-07,1.6716850714208637e-06,1.8960994042203375e-07,1.155146902514463e-06,0.03208072619154861
4900,0.007626508137525182,0.01144107577274516,0.024721378396965785,3.7336501563832955e-06,2.6767099935854652e-06,1.2909147799594403e-06,2.2955705544580104e-06,0.04530501276765852
5000,0.015496543071637841,0.035134249498429186,0.027463200639982744,6.359946293559107e-06,1.1769462348615152e-05,1.1455835778481025e-06,5.167730597553318e-07,0.0805314031691668
5100,0.00921274962030081,0.013037379936176303,0.004220540276792394,2.57487165850553e-06,1.2312988267785198e-05,7.270995674050505e-07,2.1730187174998572e-06,0.02854030748135109
5200,0.008370803718507354,0.010570846979569065,0.003096337280527059,1.979745332875159e-06,1.1963209005518622e-05,4.816913792593167e-07,3.147182530209883e-06,0.023987847355093503
5300,0.007980325551677101,0.009425598577749064,0.0024401720903021247,1.094748573251437e-05,1.4377062180268892e-06,5.728214578640755e-08,3.980969615438057e-06,0.02151135344921943
5400,0.007645708758406845,0.007892440007130417,0.008106626073571354,8.846893886082455e-07,7.71125259433444e-07,5.401660223048403e-08,3.779198909312431e-07,0.023875156594121153
5500,0.01468436723904896,0.016358154172755535,0.016901601697883916,5.720968598079607e-07,6.266804474326938e-07,4.76304503833547e-08,1.5878711222862125e-07,0.048103694776827015
5600,0.009881264079255873,0.010554557223737543,0.003542930281278798,2.4842175010926907e-05,4.135049521793251e-06,6.577543286825866e-08,4.148152983759874e-06,0.027324177052354345
5700,0.00919250795612065,0.009404648247464276,0.0030247469991386473,2.145465856944538e-05,3.7455991769507667e-06,6.870913463144742e-08,3.9873932026514885e-06,0.024575022864944063
5800,0.008710514365384255,0.008809520065965455,0.002733926876996352,1.914865955539258e-05,3.406537174982362e-06,7.594314045780099e-08,3.7398229461124176e-06,0.022921434846223696
5900,0.008319767494029757,0.008430053698438517,0.002533581113593866,1.7432658707183327e-05,3.1322469161852662e-06,8.33970276294444e-08,3.497413616157105e-06,0.021731332743829435
6000,0.013757497965185989,0.016510938548006674,0.05769718051621934,1.1470408643197863e-05,2.3399026992931543e-06,6.929377691264579e-08,2.476611182377136e-06,0.08962895617035513
6100,0.009791972468256962,0.009380877285166022,0.006509573362079896,1.622489106120208e-06,3.4332860406935705e-06,5.520847329406368e-08,3.4981007260316033e-07,0.026250585874091605
6200,0.008878311177293636,0.008340818321260006,0.004617326374827907,8.35844919929152e-07,7.762633849154754e-07,4.403372850361898e-08,2.1463756352950938e-07,0.022041147324470774
6300,0.008222270692424842,0.0070691014797327175,0.0037987080000846355,4.164170686924319e-06,1.6866854544035725e-06,5.791328468743264e-08,1.726230013257694e-06,0.01987674543004447
6400,0.007843585181913465,0.006873817975697649,0.003475145651715308,5.5296148783337305e-06,1.9355376374603836e-06,4.790390407230371e-08,1.5521503562572198e-06,0.01911823104856771
6500,0.01391840028373783,0.016161277271415125,0.023935480288740887,6.012393092837561e-06,1.81235661922974e-06,6.661434399882082e-08,1.670930226596382e-06,0.05499803300975962
6600,0.01011792296217123,0.008628350371411226,0.0042678353250890306,9.149144609877601e-07,1.444490031026781e-06,4.821608829299153e-08,1.6978667475069348e-07,0.023291135819494505
6700,0.009293430004650776,0.007765669868703172,0.0030332888285361063,6.749454074337321e-07,8.69509263434182e-07,3.3783400064575655e-08,1.3386104560454593e-07,0.020277111973569587
6800,0.0087685874432101,0.007277759430082316,0.002492142858148182,5.828033817576301e-07,6.384772033339634e-07,3.097202155519119e-08,1.0054581161684326e-07,0.01868615838188904
6900,0.008360572527365476,0.007004756430561536,0.002170364539914462,5.478971943382845e-07,5.735755175891517e-07,3.4300003479994586e-08,8.606700356612279e-08,0.017673597471130825
7000,0.013809576345452435,0.014375148545069183,0.01984789804972945,5.350085875141223e-07,4.6400622872889203e-07,3.3258822822435305e-08,1.3635186048630194e-07,0.04816278901933522
7100,0.009937034254763307,0.007804543714083633,0.003193808220622504,7.212685231098726e-07,4.313289238163766e-07,4.06772351541642e-08,1.3621803884721942e-07,0.021084606355623876
7200,0.00920872510632304,0.007094222880452551,0.0024272064657964694,5.332139734951655e-07,3.6629342568958653e-07,2.943781256770932e-08,1.1624783732898508e-07,0.018846448882507288
7300,0.008823392555145896,0.0067720350675731815,0.0021141945330549177,5.141662717544502e-07,3.422871864360412e-07,2.77972693019688e-08,8.708737816819214e-08,0.017817874874060842
7400,0.008594695631995247,0.006592810097633502,0.00195562738892143,4.981503529670994e-07,3.3631704574046425e-07,2.745732245537134e-08,8.032026773483968e-08,0.01724834054642211
7500,0.01321515828192867,0.015092097371050326,0.05294742138011607,5.030746520794417e-07,3.6624752934387407e-07,3.3477232599171596e-08,9.042270578901614e-08,0.08136739013811588
7600,0.011164889713497038,0.009898810206121272,0.011896669340234272,1.7701058759569086e-06,1.7334876884407312e-06,3.7824624880199755e-08,4.3244290909607544e-07,0.03337288521964205
7700,0.010778331776542005,0.009184981734716597,0.009695764971080151,1.4328877776017442e-06,1.3874406049579711e-06,3.5339307068844765e-08,3.497845899311908e-07,0.029993759433122262
7800,0.010637044860132871,0.008943410467292462,0.008992638585837083,1.333150250948767e-06,1.2799412480217649e-06,3.4172536380156144e-08,3.2890104033690587e-07,0.028884379435383238
7900,0.010590990430135153,0.008866426917178398,0.008772466874048439,1.303250484684616e-06,1.2466270047533244e-06,3.376806870260156e-08,3.2236662020152106e-07,0.028533992666677235
8000,0.01267804397391309,0.013094547567006848,0.023561146847946402,1.4589563659381923e-06,1.176767778834355e-06,3.855725665161952e-08,3.030748579707211e-07,0.04964689691746648
