epoch,pde,periodic,top,bottom,interface,data,total,weighted_pde,weighted_periodic,weighted_top,weighted_bottom,weighted_interface,weighted_data,val_total
1,50.00267791748047,0.0718606561422348,0.46859461069107056,0.5133723020553589,0.004793511237949133,0.0,342.8232727050781,50.00267791748047,7.186065673828125,234.29730224609375,51.33723068237305,0.0,0.0,
2,44.806880950927734,0.02955513447523117,0.3513726592063904,0.6363745927810669,0.002280821558088064,0.0,287.086181640625,44.806880950927734,2.9555134773254395,175.6863250732422,63.63745880126953,0.0,0.0,
3,83.48011016845703,0.04852673038840294,0.2678080201148987,0.6150510907173157,0.003611291293054819,0.0,283.74188232421875,83.48011016845703,4.852673053741455,133.9040069580078,61.50510787963867,0.0,0.0,
4,66.1023941040039,0.006567215081304312,0.2347094863653183,0.5930892825126648,0.0010547847487032413,0.0,243.42279052734375,66.1023941040039,0.6567215323448181,117.35474395751953,59.308929443359375,0.0,0.0,
5,49.089359283447266,0.007918576709926128,0.2440682351589203,0.5630649328231812,0.002615339821204543,0.0,228.22183227539062,49.089359283447266,0.7918576598167419,122.03411865234375,56.30649185180664,0.0,0.0,
6,51.77082061767578,0.004191533196717501,0.26890134811401367,0.5000983476638794,0.006039035972207785,0.0,236.65048217773438,51.77082061767578,0.4191533327102661,134.45066833496094,50.00983428955078,0.0,0.0,
7,61.31132888793945,0.0010234105866402388,0.2417064607143402,0.49325859546661377,0.006709991954267025,0.0,231.5927734375,61.31132888793945,0.10234105587005615,120.85323333740234,49.32585906982422,0.0,0.0,
8,75.661376953125,0.0007280444260686636,0.19170784950256348,0.5367202758789062,0.005146327894181013,0.0,225.2601318359375,75.661376953125,0.07280444353818893,95.85392761230469,53.672027587890625,0.0,0.0,
9,93.3389663696289,0.0011618672870099545,0.15805241465568542,0.5985844135284424,0.0034164530225098133,0.0,232.3397979736328,93.3389663696289,0.1161867305636406,79.02620697021484,59.85844039916992,0.0,0.0,
10,83.54652404785156,0.00025234813801944256,0.17064645886421204,0.5872136354446411,0.003322663949802518,0.0,227.61634826660156,83.54652404785156,0.02523481473326683,85.32322692871094,58.72136306762695,0.0,0.0,
11,61.008487701416016,0.0004801743780262768,0.21637272834777832,0.5326744318008423,0.004358442034572363,0.0,222.5102996826172,61.008487701416016,0.048017438501119614,108.18636322021484,53.2674446105957,0.0,0.0,
12,48.5533561706543,0.0006395402597263455,0.25040608644485474,0.5143287181854248,0.004397839307785034,0.0,225.2532196044922,48.5533561706543,0.06395402550697327,125.20304107666016,51.4328727722168,0.0,0.0,
13,42.786781311035156,0.0010766482446342707,0.25630778074264526,0.5264179706573486,0.0032726996578276157,0.0,223.6901397705078,42.786781311035156,0.10766482353210449,128.1538848876953,52.64179611206055,0.0,0.0,
14,46.59173583984375,0.0009648837149143219,0.23939573764801025,0.5611324310302734,0.001779515529051423,0.0,222.49932861328125,46.59173583984375,0.09648837149143219,119.69786834716797,56.113243103027344,0.0,0.0,
15,50.718910217285156,0.0008122125873342156,0.2300739735364914,0.588651180267334,0.0011534953955560923,0.0,224.70223999023438,50.718910217285156,0.08122126013040543,115.0369873046875,58.86511993408203,0.0,0.0,
16,50.2144889831543,0.0027562114410102367,0.2334115207195282,0.5868642330169678,0.0012659465428441763,0.0,225.88229370117188,50.2144889831543,0.2756211459636688,116.70575714111328,58.686424255371094,0.0,0.0,
17,44.44154739379883,0.0009271056624129415,0.2434883713722229,0.5633165836334229,0.0015641289064660668,0.0,222.610107421875,44.44154739379883,0.09271056950092316,121.74418640136719,56.33165740966797,0.0,0.0,
18,41.699363708496094,0.0009523989865556359,0.25282853841781616,0.5387541055679321,0.002360655227676034,0.0,222.08428955078125,41.699363708496094,0.09523990005254745,126.41426849365234,53.87541198730469,0.0,0.0,
19,44.62443161010742,0.0017136125825345516,0.24752281606197357,0.5414527654647827,0.0029811200220137835,0.0,222.7024688720703,44.62443161010742,0.17136125266551971,123.76140594482422,54.1452751159668,0.0,0.0,
20,50.13698959350586,0.00019627170695457608,0.23248890042304993,0.5408833026885986,0.00311998650431633,0.0,220.48939514160156,50.13698959350586,0.019627170637249947,116.24445343017578,54.08832931518555,0.0,0.0,
21,64.08303833007812,0.003424612805247307,0.20715230703353882,0.5578920841217041,0.002935193944722414,0.0,223.79086303710938,64.08303833007812,0.3424612879753113,103.57615661621094,55.789207458496094,0.0,0.0,
