epoch,pde_air,pde_grat,pde_sub,E_int,H_int,top,bottom,total
1,1288.2591336340274,14148.43988375029,2486.5226581245656,1.4525983061045094,1.6848695257059392,1.8202774660503356,1.732470685361105,19320.35426025121
100,1.0926238144664442,12.365119239722707,4.494441339300088,0.005862769315627307,0.0038856046637520793,0.00028373965792945536,0.00254206940276703,19.323098560668605
200,0.30768855989400024,5.217131424800059,2.353318032052555,0.003409797778023661,0.002024248739476921,0.0001162323817985932,0.001160504741022844,8.595709333498252
300,0.16585612755031112,3.213980554995423,1.6579673120539848,0.0015601699088415783,0.000889177922426151,6.505755554481947e-05,0.0008182604497104264,5.397093600469944
400,0.12535214051887186,2.4439511964111578,1.3065180036424122,0.001031604279759942,0.0006108960546886334,1.4921705809230385e-05,0.00047694832590682766,4.095227059512597
500,0.23538162595854284,8.742763509794043,5.052217139708152,0.0007650455790947907,0.00048763502302946315,1.4221262187814098e-05,0.0003433420110792654,14.197075167874997
600,0.10707686245276064,2.0702531044313095,1.5956500998052539,0.0008631673052112091,0.00038325454404073187,1.601203700481362e-05,0.0003584115861480904,3.9414694287317333
700,0.08293936615329629,1.3542308147952564,1.192890056021734,0.000857339046110134,0.00020674162954112879,1.5454379218705677e-05,9.283429618737478e-05,2.753478923763503
800,0.06723395462290938,0.9173306589006849,0.9506805826295434,0.0005955841193490415,0.00013865096774177228,4.498559991287553e-06,8.892956829334775e-05,2.0198109416871977
900,0.05614133285318853,0.6937372054266183,0.83855785435104,0.00021591554438189436,0.00021691585486814972,7.706716369411684e-05,0.0004155807528605041,1.7118111896889603
1000,0.08498336119940353,2.040566429330554,4.998588727750197,0.00016467037694504528,0.00026325155086008394,0.00010183161383656987,9.854215562953678e-05,7.227700733541906
1100,0.0449634340058796,0.4501830454865539,1.2935566291182234,0.00011851954501219074,9.067934368046465e-05,1.3461923168929778e-05,7.67268313832916e-05,1.8240266422027163
1200,0.03268414171408837,0.3499559714587206,0.8963990691945604,0.0001753395638251367,6.336984673121297e-05,2.062033123436941e-06,0.00012280511041442963,1.3162216510261657
1300,0.027017308788595484,0.25955127157799324,0.688873812493166,0.00018290980239245533,6.48515514748472e-05,1.0314614584530016e-06,0.00017984087764692246,1.0187183467404037
1400,0.022313448996944235,0.20207324338361046,0.505929568570714,6.817283744422413e-05,3.297102245595586e-05,7.458680994787868e-07,3.2989603423336233e-05,0.7441025413333597
1500,0.03773220815245895,0.6613234503013292,2.594743390217667,8.613897252745579e-05,6.048794354077493e-05,4.965107381601116e-06,3.062441455817343e-05,3.3140067354248957
1600,0.022676132364339796,0.22146604961658464,0.5989011963720575,0.00029983895525896543,8.534251456320655e-05,1.6497237600293034e-06,6.245600573232085e-05,0.8886319877884459
1700,0.01921679864538538,0.12994330378333727,0.4256901675038962,0.00021909843406162555,5.487217458619885e-05,8.612464491330953e-07,6.124334304360299e-05,0.6088022883263282
1800,0.016984044338271276,0.11865013661614206,0.31413200023062404,0.00032060825119479294,7.69090015222986e-05,1.6126744301157572e-06,0.00014203395403579162,0.5045276390753836
1900,0.015217028940933254,0.09660280904897929,0.23930416553289835,0.00024107877534222205,8.700420988143646e-05,1.6567017814906487e-06,0.00020687883516869502,0.40544853645279166
2000,0.02257130849603896,0.16453054184257337,0.907722752656338,0.00026862299591270196,5.875933901225803e-05,5.298439152206382e-07,0.0003384356377158503,1.1616713222166415
2100,0.014535177946160662,0.08341658307783388,0.1830785917842733,0.00012123050812327016,4.900343980995055e-05,3.331475690157792e-06,0.00014260094412164712,0.31397957985883346
2200,0.015601443510736777,0.07167846639440881,0.19551769431993216,5.345726541964331e-05,3.299095791678373e-05,6.57630177070294e-06,9.4731922834458e-06,0.29567789667241645
2300,0.012357358664087282,0.043057037695023205,0.08282821574836112,2.0963789296491456e-05,0.00019444480150621507,7.869969805846322e-06,3.0183442226722952e-05,0.1667368003133377
2400,0.011830615213939369,0.052405018060001196,0.06063978287766985,0.0001659024026489275,3.0958755565321704e-05,2.780761426911649e-07,3.280602413726545e-05,0.14798117245810746
2500,0.018861511982174863,0.1075204021918571,0.3200133724831331,4.5172642363085196e-05,3.7825648212608696e-05,5.016993000776393e-07,1.6360887847157823e-05,0.45658205414948905
2600,0.0127731834458214,0.06011239934932017,0.04590130230536199,6.033551641104175e-05,6.71064852637463e-05,1.8519308322840682e-06,1.8987319033977164e-05,0.1343557825875221
2700,0.011339412770206904,0.05061101495498036,0.028054842302671763,2.3294643015936193e-05,1.4446851466077428e-05,7.817325921718794e-07,7.107946200100803e-06,0.09488108039215641
2800,0.010857632853829548,0.029839492070540635,0.023375545870933014,0.0004399565526924476,5.587253698903472e-05,1.0874086816265316e-06,7.315005026432688e-05,0.1215142891306974
2900,0.010394134116679074,0.027720538781407327,0.019740333867134238,0.0003649595168294896,4.456595205590285e-05,1.2638085876676614e-06,5.504029590329587e-05,0.1049434875379233
3000,0.015904088545825243,0.04809123200221301,0.37420170199564645,0.0002977282200962314,3.6092149030497625e-05,1.313027250790428e-06,4.279226402503039e-05,0.4765147994842559
3100,0.011488638114284319,0.028422813004707687,0.03968469572691643,0.0002442801114861421,3.1254724557744555e-05,1.072740486440156e-06,3.860198456130906e-05,0.11154619914964807
3200,0.01047013209614311,0.024837370923467605,0.028098472894706933,0.00022007542937764316,2.8044427063099536e-05,1.037369325983197e-06,3.535401708315608e-05,0.09227204792969913
3300,0.009814160070690735,0.024396335612028353,0.02244968063065832,0.00019370400170853772,2.511562587669437e-05,9.676541631499527e-07,3.2675144430414014e-05,0.082293480596517
3400,0.009244947431040183,0.03074705772880212,0.01856426889875711,0.00010149313633681876,1.9070210692086955e-05,5.50779277940049e-07,2.499603607655449e-05,0.07338760200811545
3500,0.015327492966975212,0.035423873975020226,0.12523017736578987,1.9927923004248737e-06,2.5258141695143778e-06,1.7395807448091943e-07,5.765141026548171e-07,0.17657803540228517
