epoch,pde,top,bottom,total
1,61.70220748953263,0.8719794699587625,1.2252691079172024,620.2188532606341
100,0.9494648304061504,0.0001597566016816472,0.000743245523756857,1.1036676836226598
200,0.38441048264149696,9.40191968826616e-05,0.0001345500025900454,0.4448750813418323
300,0.2104525184076367,0.0001156840797979459,5.401631419679135e-05,0.2736961897262888
400,0.13588053201196923,0.0004915128522462357,6.811481876221186e-05,0.3884484400113082
500,0.1338944331211133,0.00035513132006981984,7.096628455594442e-05,0.31855672161161763
600,0.09777113794929572,0.00023449390105930197,3.6602367472497045e-05,0.21867832522619643
700,0.06967822244827637,2.5407605728712173e-05,3.7487842003756935e-05,0.08613080951300815
800,0.05377449941984996,3.538848448669933e-05,1.1767264544958484e-05,0.07264546811769547
900,0.04298940990997197,3.0224538498983103e-05,9.579594506645384e-06,0.059059638610128064
1000,0.04070376657141205,2.7496585679610786e-05,1.2798205949514697e-05,0.05573188000616892
1100,0.031766772762549016,2.8944931988283673e-05,8.358248292019506e-06,0.0470750635858928
1200,0.026953002464781984,4.6563217409624545e-05,7.359643539281008e-06,0.050970575523522355
1300,0.02378551717021853,7.653846259631106e-06,1.4889679313090426e-05,0.029101408231343124
1400,0.02068769862472881,1.1584589222991812e-05,5.235119994839248e-06,0.02700350523570864
1500,0.020160938500835373,1.1890873786987864e-05,4.057986127041015e-06,0.026512174007033408
1600,0.016685436070628452,1.1386191479508202e-05,3.2481419015694905e-06,0.0227033460005395
1700,0.014597839601417603,7.627297631759351e-06,2.7135583061718354e-06,0.01868284424791446
1800,0.012979270743897873,4.791619230973239e-06,2.304901016994429e-06,0.015605570461083936
1900,0.011629198272250285,2.8682624305257106e-06,1.9890886541601395e-06,0.013262238352929154
2000,0.012365283709421129,1.0541014377207923e-05,2.599988610620924e-06,0.017895789759087184
2100,0.010735339899011258,6.5594403566978185e-06,1.8254593295299007e-06,0.014197606010313156
2200,0.00978762288568289,2.1366517155391065e-06,1.5109728325880727e-06,0.01100704602671125
2300,0.009045261676266085,1.1860701753357608e-06,1.3883262768294612e-06,0.009777129391616911
2400,0.008398763503825249,8.66856793862087e-07,1.2906756505523254e-06,0.008961259465811524
2500,0.009087538413745298,8.666575030296852e-07,1.8113788168767542e-06,0.009702005046947815
2600,0.007942912223606406,3.865698983986749e-07,1.35305881567346e-06,0.008271503054373089
2700,0.007310681777891355,3.080293668581136e-07,1.231370045714919e-06,0.007587833465891904
2800,0.00700265735372702,2.9662671383053557e-07,1.1720230910970615e-06,0.007268173019751994
2900,0.0068943207773477415,2.924564834965381e-07,1.1506493019633598e-06,0.007155613949292346
3000,0.007362747880758677,6.643354615633613e-07,1.4198634644111284e-06,0.00783690195798147
