epoch,pde,top,bottom,periodic,total
1,41.904152431940325,0.7387934457050986,0.9807701600314838,6.557079257998734e-32,509.377891287638
100,1.2343790070748197,0.00013396577781325136,0.0002697690151326511,2.6763679134303517e-32,1.3283387974947105
200,0.8524393322262659,0.00011142495529136344,0.00011140613322433423,2.452729790231583e-32,0.9192924231943811
300,0.7106823396841628,6.156965714683843e-05,6.081029463087883e-05,2.13657672940033e-32,0.7475481977206699
400,0.6280501008669539,6.752639481792101e-05,4.509185188319031e-05,2.3560760037619116e-32,0.6663224834642334
500,0.5820969173626039,5.221394259482958e-05,3.5866781200031196e-05,2.1130083630705222e-32,0.6117905667800219
600,0.5082531263198015,7.474588269814527e-05,3.210592779992645e-05,2.65649313747163e-32,0.5488366604488668
700,0.4696091001238371,7.425108431911701e-05,2.8130907822381806e-05,2.2180065506118493e-32,0.5095477330656337
800,0.43995650101552153,6.932657581744769e-05,1.3802932168234788e-05,2.3229162512626067e-32,0.47600008214106887
900,0.4111673829140061,5.975534783114673e-05,9.874182502586181e-06,2.2679829198233484e-32,0.4420324750798381
1000,0.4280663219007422,4.5093836025138925e-05,1.2396173630904694e-05,2.3590744606747545e-32,0.4518528572764021
1100,0.38304395234701927,4.7855386696389226e-05,9.81913929015189e-06,2.3700961116828165e-32,0.4079535596242291
1200,0.3667211326940056,3.392633901718816e-05,1.0558808143339023e-05,2.2698262686368575e-32,0.3847401830169335
1300,0.3527916519013636,3.292205237834871e-05,9.741109362709456e-06,2.4083630148738465e-32,0.37022678902680883
1400,0.3407518068144557,3.518644024146802e-05,9.606083110323388e-06,2.3904358817590446e-32,0.35930563524622205
1500,0.3903816946524456,4.0016404315081135e-05,1.1621610126063403e-05,2.4653656233584467e-32,0.4115520578225925
1600,0.36655931223904464,6.814626174726883e-05,1.162891833558084e-05,2.5356453734287086e-32,0.40179533494623715
1700,0.3529434161059036,9.356996135538998e-06,4.663743134990579e-06,2.4372781578668775e-32,0.3580882884871721
1800,0.34250043896455756,1.144973028434413e-05,4.936898096884817e-06,2.1923749319501706e-32,0.34871899391641814
1900,0.33304241140654683,1.8471403650951863e-05,6.862510437019446e-06,2.421991049367511e-32,0.34296436427572474
2000,0.3923736063516167,1.996128224262936e-05,6.268296723803338e-06,2.497280939673238e-32,0.40298107714531173
