epoch,seed,w_pm1,label,pde_air,pde_grat,pde_sub,top_DtN,bottom_DtN,L_pde,L_pm1,L_total,pm1_frac,t_minus1,t_plus1,R_plus_T,total_complex_l2,scattered_complex_l2
1,42,1.0,G3_L0p8_dc0p25_n1p5_0deg_s42,0.0,0.0005663330383173674,0.0,0.0,0.0,0.0005663330383173674,0.0,0.0005663330383173674,0.0,0.00637755102040808,0.006377551020408138,1.0000597770885533,0.04709315618840033,0.99999999999987
100,42,1.0,G3_L0p8_dc0p25_n1p5_0deg_s42,2.843561024223251e-07,0.00026716022320449835,1.005068366607475e-05,6.793859535435759e-07,2.333713940787361e-05,0.00037693580964867683,6.727361440278274e-05,0.0003096621952458941,0.17847498879314527,0.007225911048705389,0.007238904075739645,1.0041929862635295,0.04585029001253243,0.9736083482937165
200,42,1.0,G3_L0p8_dc0p25_n1p5_0deg_s42,4.1904077007341956e-07,0.0002631183733703556,1.0599086403604511e-05,1.0920084493817287e-06,2.556380491837151e-05,0.000367049046660024,7.441863938035264e-05,0.00029263040727967136,0.20274848840373713,0.00712809249056646,0.007367121531016592,1.0035241597947597,0.06153095139685678,1.306579477295783
300,42,1.0,G3_L0p8_dc0p25_n1p5_0deg_s42,4.474748089816361e-07,0.0002599724370381014,1.163891220314037e-05,1.244631205080499e-06,3.200794671345469e-05,0.0003743278359550653,9.40539049465462e-05,0.00028027393100851913,0.2512607824277234,0.006840136824079513,0.007663640104294826,1.0032207536531794,0.08007260247713952,1.7003023147735432
400,42,1.0,G3_L0p8_dc0p25_n1p5_0deg_s42,4.2643015984779457e-07,0.0002566792028373404,1.4103891284888283e-05,1.2552751020173923e-06,5.035648064875715e-05,0.0004045874759208369,0.0001542589721403159,0.000250328503780521,0.38127470898406846,0.006989036607413124,0.008878539176638276,1.0028730381593602,0.09418136075794738,1.999894854809779
500,42,1.0,G3_L0p8_dc0p25_n1p5_0deg_s42,4.0797587545071597e-07,0.00025480737116970057,1.7248629765624847e-05,1.2344236490351215e-06,7.400449452334455e-05,0.0004463026736814398,0.00023338741055783702,0.0002129152631236028,0.5229352731245867,0.007750281609957494,0.010566552681103129,1.0026445895452762,0.1008070408746405,2.140587911995958
600,42,1.0,G3_L0p8_dc0p25_n1p5_0deg_s42,4.0412502573819335e-07,0.0002545563696236795,1.804247003416573e-05,1.2286900986430522e-06,7.99102039216932e-05,0.00045702485949968973,0.00025333376465550385,0.00020369109484418588,0.5543106887726659,0.007965251491632398,0.010976810372026323,1.0026022804194326,0.10188038809021849,2.1633799119902632
