epoch,seed,w_pm1,label,pde_air,pde_grat,pde_sub,top_DtN,bottom_DtN,L_pde,L_pm1,L_total,pm1_frac,t_minus1,t_plus1,R_plus_T,total_complex_l2,scattered_complex_l2
1,42,1.0,G1_L1p5_dc0p4_n1p5_0deg_s42,0.0,0.0009061328613077877,0.0,0.0,0.0,0.0009061328613077877,0.0,0.0009061328613077877,0.0,0.0063775510204080975,0.006377551020408098,1.0001541701977323,0.04697582704832972,0.9999999999998211
100,42,1.0,G1_L1p5_dc0p4_n1p5_0deg_s42,1.834527350864084e-06,0.00017047372130997427,2.2732463915806197e-05,5.421004064006772e-06,2.3385832776294685e-05,0.0004416055835432858,1.9266088165200616e-05,0.0004223394953780852,0.04362736542100847,0.005574567343055381,0.005251788212062916,1.005079636870204,0.05333838138167988,1.135443157324185
200,42,1.0,G1_L1p5_dc0p4_n1p5_0deg_s42,8.209643232939592e-07,0.00011803798846012959,3.595820749320955e-05,2.5353854076141412e-06,6.79484143030233e-06,0.0002309585673493866,4.106110735006152e-05,0.00018989745999932508,0.17778559947484265,0.007097347121679383,0.006479735498986479,1.005852290982797,0.06141188084656739,1.307308134955763
300,42,1.0,G1_L1p5_dc0p4_n1p5_0deg_s42,8.457175128285822e-07,0.00011132222780536897,4.758445081515073e-05,2.5753416464756228e-06,9.324265572954787e-06,0.00023986871443955587,5.667810651694751e-05,0.00018319060792260837,0.23628803218199487,0.008056983668682524,0.007289296209309254,1.0056705881300732,0.07093539169110966,1.5100402940882158
400,42,1.0,G1_L1p5_dc0p4_n1p5_0deg_s42,8.518576529534388e-07,0.00010915401047791456,5.156526325020762e-05,2.7517564105714683e-06,1.0180031487199178e-05,0.00024290748857704956,6.234095393341551e-05,0.00018056653464363406,0.2566448416168987,0.00838356283863874,0.007555522655030471,1.0055189098366135,0.07785094684752274,1.657255480939465
500,42,1.0,G1_L1p5_dc0p4_n1p5_0deg_s42,8.423136959628938e-07,0.00010845851004902274,5.26629966320767e-05,2.810534726631858e-06,1.0420824805716014e-05,0.00024336839976771895,6.401834723276608e-05,0.00017935005253495286,0.2630511902690238,0.008470608530710006,0.007629046961311031,1.0054512540681202,0.08104765457944299,1.7253055384431006
600,42,1.0,G1_L1p5_dc0p4_n1p5_0deg_s42,8.401362219300057e-07,0.00010835035190992109,5.282322907875039e-05,2.819253591942109e-06,1.0456104634203343e-05,0.00024340736706564612,6.426995820414762e-05,0.00017913740886149848,0.264042781362547,0.008482707932820086,0.0076396365778455865,1.0054399220436985,0.08157140388334853,1.7364548749596587
