epoch,pde_air,pde_grat,pde_sub,top_DtN,bottom_DtN,E_int,H_int,total_loss,head_norm,hgrad_norm,hgrad_P_active,hgrad_P_pm1,hgrad_P_null,hgrad_frac_pm1,d_t_minus1_along_grad,d_t_plus1_along_grad,t_minus1,t_plus1,R_plus_T,total_complex_l2,scattered_complex_l2,h_norm_net_air,h_norm_net_grat,h_norm_net_sub
1,0.0,0.0009061328613077877,0.0,0.0,0.0,0.0,0.0,0.0009061328613077877,0.0070994422916669684,0.8535987877183331,0.8535987877183334,0.0,5.1499618071783604e-14,0.0,0.0,0.0,0.00637755102040808,0.006377551020408138,1.0000597770885533,0.04709315618840033,0.99999999999987,6.686828587757156,6.812363889622497,5.130277145270765
100,5.817419848905868e-07,0.00029679823087305334,1.0986330497428542e-05,1.4050984944487728e-06,1.2884057151755703e-05,8.277930147324558e-05,8.514735466892771e-05,0.0004905821244691503,0.14904721151136044,0.7975739081544996,0.7939958311125238,0.14178961364892897,0.07546362795927027,0.17777614362663258,0.7076360481346308,0.5444113384362723,0.006177094433106559,0.006465449279602565,1.0065158341033915,0.052049422779970024,1.1052438823963073,6.539127375850116,6.66055471732294,4.799787236885688
200,1.5874430996437738e-06,0.00030860102971670645,1.986859396314198e-05,3.7284967347173977e-06,1.8653336771918484e-05,6.815301647365665e-05,0.00019568928958536272,0.0006162812147960131,0.3121616265448266,0.9987772844349802,0.9929697932565927,0.20759955724969023,0.1075502374858981,0.2078537032078495,0.7955991219916434,0.6757975147425156,0.006212368398593819,0.006352002276433914,1.0050894631761835,0.0791656526192162,1.681043680795076,6.526794648189974,6.587384951772452,4.781145801650773
300,8.497510226148269e-07,0.00026593605308353007,1.5629532217245653e-05,2.5275510149334965e-06,3.2299180322068314e-06,3.775232652083644e-05,6.468205365298723e-05,0.00039060719434819797,0.4570751498968596,0.4054938413471426,0.402779255082648,0.08240741619138965,0.04684150985535152,0.20322729419912644,0.6401541542106182,0.7949305200012253,0.005772422504848761,0.006335072489257976,1.005201809018917,0.11363863877680608,2.413060579804205,6.5168008904812735,6.5415677878445155,4.808899870539068
400,8.65484628993624e-07,0.00025044542797221606,1.7925054645915213e-05,2.616886607027174e-06,8.47927334111427e-07,3.47888737286706e-05,3.348075574607446e-05,0.000340970419999106,0.5825124100147756,0.002663819748835555,0.0026587211660453356,0.00016212442058903025,0.00016473437864894988,0.0608616332467316,0.1800261240919203,0.24701667716222242,0.005793010575062751,0.006027765179763194,1.0043963843942743,0.1509139761042252,3.204584027039107,6.515667866806196,6.557930588803262,4.915354203644329
500,6.520199890320474e-07,0.0002337801482650636,2.159191141153442e-05,2.1890867319683024e-06,7.504342742806823e-07,3.0110308408334808e-05,3.079274865340367e-05,0.00031986666714346686,0.6863880330351962,0.002540023068024114,0.0025357435851484185,9.38393817670034e-05,0.00014738268715586714,0.03694430296650854,0.12488838931151588,0.13721607350988643,0.005832446513686964,0.005840170177753986,1.0032772854641177,0.18895594576811148,4.012386534726022,6.524004508292524,6.6232501495970535,5.028772165054947
600,5.655039109877148e-07,0.00022138564763627135,2.4409808832590253e-05,1.9299665938054178e-06,7.092095576766674e-07,2.6991621872352177e-05,2.937102154105468e-05,0.00030536278921358695,0.7645542027826527,0.002300456417132845,0.0022955269771880995,9.382281752662094e-05,0.000150517853191434,0.04078443600490212,0.1285323956297623,0.15947832322377672,0.005773992507980097,0.005617975347875889,1.002499726178657,0.22297906095914638,4.734850645114335,6.537842591752883,6.682495219807145,5.106755784573076
700,5.55671402633518e-07,0.00021413202229166248,2.6231099595221894e-05,1.8226881230830335e-06,6.958850849660406e-07,2.5028456432046182e-05,2.7892344365178978e-05,0.0002963581765326249,0.8153467511026491,0.00215804779835727,0.0021522626958291463,9.131523669822226e-05,0.00015791006344410155,0.0423138156475183,0.12910773944446263,0.16879148876616104,0.005667322415429744,0.005415562517695951,1.002109367960657,0.24881316983185908,5.283425235642047,6.551877255230733,6.7210530285020855,5.157904724916278
800,5.625751325647732e-07,0.00021029281300724792,2.7290899043218227e-05,1.7742931167542252e-06,6.897149013707487e-07,2.3927377024013358e-05,2.6835633564276607e-05,0.0002913733150518107,0.8426206917493768,0.0020777105466063322,0.0020714841782117433,8.801735664369638e-05,0.00016073087723771713,0.042362665380633116,0.12744835937937055,0.1703543970543387,0.005588334998645222,0.0052838753024435055,1.001930481561908,0.2646506707404581,5.619726774770952,6.561845609245136,6.743112884086025,5.187412356970298
900,5.674638226345887e-07,0.0002087795781344125,2.772758497045775e-05,1.7562665162568184e-06,6.871116521364584e-07,2.3484256593932046e-05,2.637427246513453e-05,0.0002893765434350962,0.8530092787089528,0.0020436012754749314,0.0020372218757700746,8.593136649685756e-05,0.00016134807717052964,0.04204898848327797,0.12598533737331913,0.1694802812430876,0.00555304939872955,0.005227630735010677,1.0018659395667326,0.2713011314229023,5.760946035077854,6.566311771642607,6.752132971403297,5.1993335662997175
1000,5.683195321176719e-07,0.0002085445477252691,2.7796065381340722e-05,1.753564123507943e-06,6.865969201296251e-07,2.3414888935415566e-05,2.630004589555486e-05,0.00028906403779659534,0.8545348077089111,0.002038040436201629,0.002031640656624716,8.528998203897235e-05,0.0001613848256262806,0.04184901365251144,0.12549942388961782,0.16859003477374138,0.005547344189589806,0.005218738231094909,1.0018563222382773,0.27234014729238676,5.783009025830219,6.567024773525693,6.753530180864485,5.2011547553778685
