epoch,pde_loss,total_loss,energy_balance,r0_real,r0_imag,t0_real,t0_imag,tm1_real,tm1_imag,tp1_real,tp1_imag
250,0.3676779679108998,0.5693488161375594,0.8727140169937235,0.08796201158227182,0.12019022942163185,0.36443539406317904,0.672538986083663,0.02934032406904441,0.004434413990205138,-0.04452768200958315,0.0006368780358859683
500,0.25079749472895235,0.337719897623598,0.7604221429287098,0.10831507627098258,0.19172187295553933,0.3587504461308999,0.6008021039246545,0.029462118918497787,0.005549016896164216,-0.041258155595755575,0.003090432518344358
750,0.19109667504431221,0.21080847619326448,0.7211824566169566,0.127035110280191,0.23725720833178715,0.3723686186242877,0.5545124375777176,0.029803829860462514,0.006461639300398586,-0.03954383218081228,0.004444319495164925
1000,0.16204623868280243,0.17363686485848864,0.7147058445468586,0.13219762222549136,0.26225950482129157,0.38566319583286496,0.5323943836214058,0.029856483853749925,0.006771054599134075,-0.038344073917681076,0.005164077446339427
