epoch,pde_air_norm,pde_air_P_active,pde_air_P_pm1,pde_air_P_null,pde_air_frac_pm1,pde_air_frac_active,pde_air_frac_null,pde_grat_norm,pde_grat_P_active,pde_grat_P_pm1,pde_grat_P_null,pde_grat_frac_pm1,pde_grat_frac_active,pde_grat_frac_null,pde_sub_norm,pde_sub_P_active,pde_sub_P_pm1,pde_sub_P_null,pde_sub_frac_pm1,pde_sub_frac_active,pde_sub_frac_null,vertical_E_norm,vertical_E_P_active,vertical_E_P_pm1,vertical_E_P_null,vertical_E_frac_pm1,vertical_E_frac_active,vertical_E_frac_null,vertical_H_norm,vertical_H_P_active,vertical_H_P_pm1,vertical_H_P_null,vertical_H_frac_pm1,vertical_H_frac_active,vertical_H_frac_null,horizontal_E_norm,horizontal_E_P_active,horizontal_E_P_pm1,horizontal_E_P_null,horizontal_E_frac_pm1,horizontal_E_frac_active,horizontal_E_frac_null,horizontal_H_norm,horizontal_H_P_active,horizontal_H_P_pm1,horizontal_H_P_null,horizontal_H_frac_pm1,horizontal_H_frac_active,horizontal_H_frac_null,top_DtN_norm,top_DtN_P_active,top_DtN_P_pm1,top_DtN_P_null,top_DtN_frac_pm1,top_DtN_frac_active,top_DtN_frac_null,bottom_DtN_norm,bottom_DtN_P_active,bottom_DtN_P_pm1,bottom_DtN_P_null,bottom_DtN_frac_pm1,bottom_DtN_frac_active,bottom_DtN_frac_null,total_norm,total_P_active,total_P_pm1,total_P_null,total_frac_pm1,total_frac_active,total_frac_null
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8535987877183331,0.8535987877183334,0.0,5.1499618071783604e-14,0.0,1.0000000000000004,6.033234678020329e-14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8535987877183331,0.8535987877183334,0.0,5.1499618071783604e-14,0.0,1.0000000000000004,6.033234678020329e-14
1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.5903468059079846,2.590346805907986,0.0,8.416143155897194e-14,0.0,1.0000000000000004,3.24904106921201e-14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.19054458716797e-08,3.190544587167971e-08,0.0,6.216517419017052e-20,0.0,1.0000000000000004,1.948418913817792e-12,6.0826665163791565e-09,6.082666516379158e-09,0.0,9.427642607643499e-20,0.0,1.0000000000000002,1.5499193622167395e-11,2.562968255391519,2.5629682553915196,0.77642267422719,1.9380280541798959e-13,0.3029388571605947,1.0000000000000002,7.561654539040877e-14,8.610973234848617,8.61097323484862,1.1353571672170963,2.398557316745684e-13,0.13185004020478253,1.0000000000000004,2.7854659994049455e-14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.171365995455455,13.171365995455462,1.281570513467381,1.973533476518799e-13,0.09729974202444637,1.0000000000000004,1.49835140652817e-14
100,0.008145087534590447,0.008145087534590456,2.5722668192195616e-20,2.3766359029219576e-15,3.158059147057283e-18,1.000000000000001,2.917876441264618e-13,0.41955497930204366,0.4195549793020438,0.0,4.228493601072199e-14,0.0,1.0000000000000002,1.0078520836784171e-13,0.045845560526264456,0.04584556052626447,0.02094634381096679,1.159222429857142e-14,0.45688925100974265,1.0000000000000002,2.528538023203e-13,3.3734225567131056e-09,3.3734225567131064e-09,0.0,1.4829775802920384e-20,0.0,1.0000000000000002,4.39606232353227e-12,2.527384485818926e-09,2.5273844858189262e-09,0.0,2.0394987890060575e-20,0.0,1.0000000000000002,8.06960239112656e-12,0.305625008664153,0.30562500866415315,0.062486192631452456,3.106381129470377e-14,0.2044537942250585,1.0000000000000004,1.0164027947346205e-13,0.6194981961879467,0.6194981961879469,0.14246215126600567,3.441428745101439e-14,0.22996378704997028,1.0000000000000004,5.555187676539029e-14,0.01865173258132965,0.018651732581329662,1.2662018845960182e-20,8.823070423186614e-14,6.788655579715334e-19,1.0000000000000007,4.7304294036568444e-12,0.5873210003857333,0.5873210003857335,0.2892864118193702,6.078868314166946e-14,0.49255247408040287,1.0000000000000004,1.0350163386247969e-13,0.9834863835228695,0.9834863835228698,0.4653815413033561,9.442429216992812e-14,0.47319571384033743,1.0000000000000002,9.600976053343846e-14
500,0.010571109356972688,0.010571109356972693,2.436159458467486e-19,3.148885523808236e-15,2.3045447513610282e-17,1.0000000000000004,2.978765442182505e-13,0.5715353485084165,0.5715353485084166,0.0,5.115324211327878e-14,0.0,1.0000000000000002,8.950144946725984e-14,0.06570300899382087,0.0657030089938209,0.041994403896194875,2.1649041752627265e-14,0.6391549571214357,1.0000000000000004,3.29498482400757e-13,1.5520840032374399e-09,1.5520840032374405e-09,0.0,1.6627974382639585e-20,0.0,1.0000000000000004,1.0713321152692672e-11,4.10552983027524e-09,4.105529830275238e-09,0.0,3.175376937164437e-20,0.0,0.9999999999999996,7.734390123653189e-12,0.5648318268806156,0.5648318268806158,0.3277095528553321,3.794189471808453e-14,0.5801896020363556,1.0000000000000004,6.717379034326979e-14,1.1262725280518955,1.126272528051895,0.3895964394642795,4.1294799766367566e-14,0.3459166673790413,0.9999999999999996,3.666501556048326e-14,0.1753224394076633,0.17532243940766337,2.0892567234553034e-19,1.1672842101103547e-13,1.1916653284736253e-18,1.0000000000000004,6.65792818109359e-13,1.6275128318300724,1.6275128318300733,1.1749325140648361,2.307328371393603e-13,0.7219190479399612,1.0000000000000004,1.4177021073309176e-13,2.590467454757302,2.590467454757302,1.8176477306012329,2.7919021412234596e-13,0.7016678504349426,1.0,1.0777599757511834e-13
1000,0.027852834477236393,0.0278528344772364,6.40329327592193e-19,4.219892679924184e-15,2.2989736578355152e-17,1.0000000000000002,1.5150675897539348e-13,1.0203315347293498,1.02033153472935,0.0,6.761573585240683e-14,0.0,1.0000000000000002,6.626839762464303e-14,0.22471622848401213,0.22471622848401226,0.12333453609276829,6.89909323243279e-14,0.5488457016425192,1.0000000000000007,3.070135734733391e-13,2.4111773415387165e-09,2.411177341538717e-09,0.0,3.095882604218043e-20,0.0,1.0000000000000002,1.2839713408398136e-11,5.276563406883064e-09,5.276563406883065e-09,0.0,3.862403511939166e-20,0.0,1.0000000000000002,7.319922483828806e-12,1.6419395980958376,1.641939598095838,0.9927332849514042,1.3905705675019018e-13,0.6046101123955352,1.0000000000000002,8.469072608484203e-14,3.6052681856770015,3.605268185677002,0.9743936541293203,1.7561792046198316e-13,0.27026939576933234,1.0000000000000002,4.871147205072774e-14,0.5705557474514251,0.5705557474514252,7.093819622450999e-21,1.557001144391852e-13,1.2433175292927776e-20,1.0000000000000002,2.7289202700116676e-13,5.0433029712368835,5.043302971236886,3.0958866424307243,5.923003434658858e-13,0.6138609280638656,1.0000000000000004,1.1744294301649351e-13,8.137302478362681,8.137302478362685,5.019910374547008,6.457762825599847e-13,0.6169010415792079,1.0000000000000004,7.935999482348385e-14
