variant,best_epoch,total_complex_l2,scattered_complex_l2,t-1,t+1,t-1_phase_error,t+1_phase_error,R_plus_T,pde_final
pointwise,500,0.04693722060742327,0.9966887846641809,0.006321686435115563,0.006338707593459959,119.58713572619233,119.49858130414096,1.0002855612519097,0.0008632707361339108
galerkin,500,0.04704927690241956,0.9990682449523801,0.00636883734024703,0.00637081298049343,120.5209789892135,120.44312208253564,1.0001151081554975,0.00012856785338425893
