epoch,pde_loss,total_loss,energy_balance,r0_real,r0_imag,t0_real,t0_imag,tm1_real,tm1_imag,tp1_real,tp1_imag
250,0.41291296437607494,0.6655120239540311,0.8884502811286038,0.07028452615676692,0.1301161046166413,0.4428973269300702,0.6335744266618233,0.00842449549739352,-0.0007434056277023926,0.007004106842240454,0.0033792863605951184
500,0.2789440811940611,0.4111051457972925,0.8328323300530647,0.11239876881631028,0.21031781141367792,0.4343030128745138,0.588603213354391,0.009734104254727566,-0.003056166764536711,0.006046868070777368,0.0029212807690256197
750,0.22037908407415507,0.24750414584404018,0.8090722555963663,0.1348228815214627,0.25498064894593475,0.4233661676814836,0.5668145599579264,0.010907856987175696,-0.004381478058000654,0.005406051567896947,0.002926933333881943
1000,0.18913059247895742,0.2058349952712494,0.7959017373197073,0.1436814336449972,0.2798720964251793,0.41055216633062364,0.5585551355353542,0.011902528751026544,-0.005211555873387896,0.005166896842953517,0.00303635832556004
